,Period,household,time_of_day,daily_sum
350,P5,3,afternoon,-0.4675450953491835
351,P5,3,evening,-1.1276285826241914
352,P5,4,night,-0.6008995806452683
353,P5,4,morning,0.03930901414016818
354,P5,4,afternoon,0.4418306650433581
355,P5,4,evening,1.067744698441597
356,P5,5,night,-0.6489142343301462
357,P5,5,morning,0.43452823657542844
358,P5,5,afternoon,-0.37283485910582886
359,P5,5,evening,0.5188085395608081
360,P5,6,night,-0.7106473604964177
361,P5,6,morning,-0.40591753848077855
362,P5,6,afternoon,-0.37713010791505114
363,P5,6,evening,-0.229099337577542
364,P5,7,night,5.332339767557498
365,P5,7,morning,-1.3237940183406285
366,P5,7,afternoon,-1.0328714261230085
367,P5,7,evening,0.13638771936365188
368,P5,8,night,-0.6283365256080558
369,P5,8,morning,-0.18491740185371477
370,P5,8,afternoon,-1.1073224054828639
371,P5,8,evening,-1.178801226849447
372,P5,9,night,-0.7243658329778114
373,P5,9,morning,0.16352076976267843
374,P5,9,afternoon,-0.2454091444322302
375,P5,9,evening,-1.4257519409989021
376,P5,10,night,-0.4670174510583337
377,P5,10,morning,0.7410247764231812
378,P5,10,afternoon,0.06241702022871007
379,P5,10,evening,0.31278108661326265
380,P5,11,night,-0.7312250692185083
381,P5,11,morning,1.0765578305723005
382,P5,11,afternoon,0.04523602499182097
383,P5,11,evening,-1.2366582513073194
384,P5,12,night,-0.6077588168859651
385,P5,12,morning,-1.5931883454699691
386,P5,12,afternoon,-1.7458827284539313
387,P5,12,evening,-1.5386436960386534
388,P5,13,night,-0.7106473604964177
389,P5,13,morning,1.213674703662085
390,P5,13,afternoon,1.399671149499959
391,P5,13,evening,1.0889119025115503
392,P5,14,night,-0.7312250692185083
393,P5,14,morning,-0.3010634590591787
394,P5,14,afternoon,-0.9126044594647804
395,P5,14,evening,-0.8203699045982377
396,P5,15,night,-0.7312250692185083
397,P5,15,morning,1.3104630846666387
398,P5,15,afternoon,1.7490180526500496
399,P5,15,evening,1.9497115346896516
400,P5,16,night,-0.18248616996276104
401,P5,16,morning,-1.2544290119540316
402,P5,16,afternoon,0.07530276665637771
403,P5,16,evening,-0.013193856064018359
404,P5,17,night,-0.6969288880150241
405,P5,17,morning,1.4346748402891485
